('江苏万城建设工程有限公司', '002105291239456106')
('洛宁时代建筑设计有限公司', '002105291240460334')
('江苏新力机械安装有限公司', '002105291240506500')
('枣庄联达轻钢工程有限公司', '002105291240478387')
('四川庆兴建设工程有限公司', '002105291306890872')
('北京润达森建设工程有限公司', '002107151911145458')
('吉林省众合联诚工程勘察设计有限公司', '002105291248685170')
('山西顺驰路桥工程有限公司', '002105291240556753')
('江苏华光欣绿电力工程有限公司', '002105291323019915')
('天津燕领建设工程有限公司', '002105291306901653')
('四川世纪晨辉建设工程有限公司', '002105291322987731')
('安徽冠辰建设工程有限公司', '002105291241613544')
('常州飞达建筑劳务有限公司', '002105291254734536')
('广东孚信泰成建设工程有限公司', '002204132020301441')
('北京捍御者信息科技有限公司', '002105291255775040')
('四川吉马市政建设有限公司', '002105291258797689')
('广东垚森建设有限公司', '002105291328033857')
('安徽鸿力建筑设计有限公司', '002105291305854522')
('连云港中港混凝土有限公司', '002105291240479547')
('福建阅世鑫动建设工程有限公司', '002105291255777057')
('华东荣大（北京）建设有限公司', '002105291241606794')
('湖南人立建设工程有限公司', '002105291328025515')
('吉林省盛华建筑安装工程有限公司', '002105291248647897')
('山西正鉴科技发展有限公司', '002105291323016490')
('北京盛达技通智能系统工程有限公司', '002105291254733879')
('台州市国升建设劳务有限公司', '002108171909169004')
('北京恒坤兴业建筑工程有限公司', '002203012018278502')
('江苏荣鼎工程技术有限公司', '002105291240552330')
('合肥宝路建筑工程有限公司', '002105291242635441')
('四川赤羽建筑工程有限公司', '002105291249704442')
('北京铭德和诚技术有限公司', '002105291249702504')
('江苏省古典建筑园林建设有限公司', '002105291240534661')
('北京万宗华奕建筑有限公司', '002105291241611030')
('北京应运建设有限公司', '002105291329077183')
('广东万政工程有限公司', '002105291254761616')
('上海缘脉环境科技有限公司', '002105291248647023')
('湖南酷威机电设备有限公司', '002105291254722743')
('江苏明太工程科技有限公司', '002202151502273064')
('陕西荟邦众装饰设计工程有限公司', '002105291248663229')
('江西伟袖建设工程有限公司', '002107041915132663')
('上海昆州建设工程有限公司', '002108021928159670')
('陕西汉登中邦建设工程有限公司', '002105291248663251')
('吉林省中邦建设工程有限公司', '002105291254751670')
('潍坊中邦建设工程有限公司', '002105291240516951')
('珠海市中邦建设工程有限公司', '002105291241589706')
('台州中邦建设工程有限公司', '002105291254722188')
('济南中邦建设工程有限公司', '002105291323016515')
('宁夏中邦建设工程有限公司', '002109240056189071')
('山西中邦建设工程有限公司', '002105291328070075')
('浙江中邦建设工程有限公司', '002105291240461155')
('四川中邦建设工程有限公司', '002105291240558483')
('江苏中邦建设工程有限公司', '002105291240475213')
('惠州市中邦建设工程有限公司', '002105291313956832')
('广东中邦建设工程有限公司', '002105291306895602')
('四川彦欣中邦建设工程有限公司', '002105311953101210')
('四川鑫顺祥建设工程有限公司', '002105291322984707')
('创世华承（北京）建筑装饰工程有限公司', '002105291240467278')
('贵州鑫顺建筑有限公司', '002105291240476935')
('辽阳市荣兴建筑安装工程有限公司', '002105291240495104')
('北京中腾嘉升建筑工程有限公司', '002105291313941773')
('广东志汇谷科技有限公司', '002105291240542458')
('四川南园建筑工程有限公司', '002105291258805080')
('江西元定建筑工程有限责任公司', '002105291254751313')
('湖南高云建设工程有限公司', '002204080428298690')
('北京鸿运东兴电气工程安装有限公司', '002105291258780877')
('京竑（北京）建筑工程有限公司', '002208162032372006')
('西安曲江大唐文旅工程建设有限公司', '002105291258789222')
('上海一鸿建筑劳务有限公司', '002105291305856059')
('浙江鸿翔远大建筑科技有限公司', '002212202025447355')
('山西锦嘉峰建筑有限公司', '002105291248662139')
('河北绿岛环境工程有限公司', '002105291259815211')
('四川中鑫盛达建筑工程有限公司', '002105291254727754')
('工北建设有限公司', '002105291336100543')
('北京垚屹建筑工程有限公司', '002106171904113301')
('赣立建设集团有限公司', '002105291259833973')
('北京鑫欣诚建设工程监理有限公司', '002105291241617454')
('四川江宇建筑工程有限公司', '002105291248680637')
('北京华坊建筑有限公司', '002205202013320813')
('广西中安楚邦建设有限公司', '002111161910218164')
('湖南协力基础工程有限公司', '002105291306889032')
('陕西展隽实业有限公司', '002106061902105595')
('四川天祥盛达消防工程有限公司', '002105291241579569')
('中创圆益（北京）建设有限公司', '002109241046189191')
('湖北华宏建筑有限责任公司', '002105291258782446')
('北京君名发工程有限公司', '002105291306887374')
('陕西友庆建筑工程有限公司', '002210182018411618')
('北京华安力通建筑工程有限公司', '002106121902111138')
('山西擎华博建筑安装工程有限公司', '002105291240500494')
('江西中筑建设工程有限公司', '002105291258790107')
('北京虹安模架建筑工程有限公司', '002105291313927416')
('北京鸿基建业建设工程有限公司', '002105291313936932')
('北京四通智能交通系统集成有限公司', '002105291240520079')
('南通华安建设工程有限公司', '002105291240519871')
('四川天跃海筑建筑工程有限公司', '002108101903165508')
('北京万向鸿基建设有限公司', '002201192017261856')
('四川鑫虹福建筑工程有限公司', '002105291305873092')
('河南汇东水利工程有限公司', '002105291240512510')
('江西同富建设有限公司', '002105291255774886')
('北京中盛凡亿建设有限公司', '002204032016296902')
('山东聚洋装饰工程有限公司', '002201061917252911')
('四川山之顶建筑工程有限公司', '002105291313928890')
('云南地表建设工程有限公司', '002105291323016043')
('北京安东明晟建筑工程有限公司', '002105291335085646')
('江西名江建筑工程有限公司', '002105291259827421')
('黑龙江中科工程管理咨询有限公司', '002105291254723412')
('四川蓉夏建筑工程有限公司', '002105291305853064')
('临汾新尧兴电力科技有限公司', '002105291241584095')
('江西铭聚建设工程有限公司', '002105291259833417')
('江苏寅奥建设工程有限公司', '002105291249702469')
('浙江均安科技工程有限公司', '002105291335083919')
('北京金乾石油技术有限公司', '002105291240484857')
('广东予能建设工程有限公司', '002105291305858466')
('天津永源电力工程有限公司', '002105291305856362')
('云南朴续建设工程有限公司', '002207082014348482')
('北京禾和建设工程有限公司', '002201140852256891')
('祥鸣（北京）工程技术有限公司', '002105291305851317')
('武钢电讯工程安装检修厂', '002105291240478626')
('北京华宇铭泰建设有限公司', '002105291328065466')
('昌黎县亿高铁路工程有限公司', '002105291305856099')
('江苏典优建设工程有限公司', '002105291258789163')
('新疆新纪源建设工程有限公司', '002105291241608414')
('湖北铭硕建设工程有限公司', '002111051910212109')
('上海银弓建筑劳务有限公司', '002105291306891853')
('江西瑞中建设工程有限公司', '002105291305876794')
('吉林省德泰公路工程有限责任公司', '002105291305842464')
('内蒙古程鹏建筑工程有限公司', '002105291240531140')
('云南环铭建设工程有限公司', '002105291322975805')
('河北江河建筑工程有限公司', '002105291312917764')
('江苏恒大混凝土有限公司', '002105291241572297')
('四川知帛佳装饰安装工程有限公司', '002105291242641731')
('四川金美建设工程有限公司', '002105291312913835')
('江苏泓美睿建设有限公司', '002105291240556863')
('山东蓝采建设工程有限公司', '002112151918236270')
('盛铭吉（北京）建设有限公司', '002105291240500718')
('北京海纳联创节能科技股份有限公司', '002105291241599645')
('陕西而星起建筑工程有限公司', '002209192048392535')
('广东邦润建设有限公司', '002105291258802216')
('四川省匡泽劳务有限公司', '002105291248672186')
('河北安广工程机械设备租赁有限公司', '002105291248680714')
('广东荣华升建设工程有限公司', '002206282012341083')
('福建大潮建设工程有限公司', '002105291240491881')
('河南泰业装饰设计工程有限公司', '002105291239456998')
('江苏兴阳建工集团有限公司', '002105291248651994')
('福建同鑫源工程服务有限公司', '002105291241626356')
('贝欧德（北京）建筑装饰工程有限公司', '002105291241616528')
('蒲城通力市政工程有限公司', '002305152020525145')
('云南云吕建设工程有限责任公司', '002105291328032300')
('安徽威斯通建设工程有限公司', '002105291328065867')
('四川吉品建设工程有限公司', '002105291305855911')
('江苏昌硕建设有限公司', '002105291254736717')
('中鹏宣亿（北京）建设工程有限公司', '002105291313931546')
('上海昌源市政工程有限公司', '002105291305869771')
('眉山市城投市政工程有限责任公司', '002105291328032533')
('四川金璧建筑工程有限公司', '002105291258792373')
('江苏新业建筑劳务有限公司', '002105291240475353')
('云南天宝建筑有限公司', '002105291313951273')
('四川万欣建筑工程有限公司', '002105291241602322')
('中湛交投生态科技有限公司', '002105291306896501')
('陕西林明康健建设工程有限公司', '002205262022323994')
('四川国泰民安科技有限公司', '002105291240540159')
('北京邦远建筑工程有限公司', '002205102018314965')
('南阳市通成混凝土有限公司', '002105291240493341')
('广东芙昕建设工程有限公司', '002109161907186017')
('云南正兴建设工程有限公司', '002105291328031144')
('中蓝慧东（北京）建筑工程有限公司', '002207022011344547')
('东方一代（北京）工程科技有限公司', '002105291313951981')
('海南德天工程有限公司', '002105291239457037')
('基成联创（北京）科技有限公司', '002105291241599231')
('湖北契成项目管理有限公司', '002108021928159708')
('浙江均安消防服务有限公司', '002204062020297484')
('上海电气风电集团股份有限公司', '002105291255767451')
('鑫美华（北京）建设工程有限公司', '002105291328028127')
('辽阳正旭电力设施承装有限公司', '002105291240491071')
('七台河昌泰建筑工程有限公司', '002105291312907151')
('四川中聚盛业建设工程有限公司', '002105291249711078')
('山西晋康源建筑劳务有限公司', '002105291306901763')
('陕西河洲建筑工程有限公司', '002105291241579891')
('四川酬楷建筑工程有限公司', '002105291248680799')
('天津顶颉宏观机电设备安装有限公司', '002105291258783785')
('高德（北京）装饰工程设计有限公司', '002201212019263487')
('泰州市永发建筑安装工程有限公司', '002105291240464205')
('北京涌泉建设有限公司', '002105291241564951')
('云南路基混凝土有限公司', '002105291248684542')
('广东欣安消防有限公司', '002105291248670097')
('北京四八快装建筑工程有限公司', '002105291335084173')
('四川鸿飞众腾建筑工程有限公司', '002105291313930032')
('鸿瑞天祥（北京）科技有限公司', '002107161912146335')
('吉林中天元商品混凝土有限公司', '002105291305842997')
('北投河北城市建设发展集团有限公司', '002105291328043649')
('云南金源建设工程有限公司', '002105291322980114')
('陕西长平晟建筑工程有限公司', '002105291248698755')
('北京亚元立信建设有限公司', '002105291322994445')
('北京恒通嘉盛工程管理有限公司', '002204252011308655')
('四川贝拓皓建筑工程有限公司', '002105291312917658')
('甘肃巨峰智能科技有限公司', '002105291258798991')
('上海纳宇电气有限公司', '002305202036528995')
('重庆崯灿建筑工程有限公司', '002105291241607634')
('北京灏君建筑工程有限公司', '002203182008287847')
('陕西良邦建筑工程有限公司', '002105291242637540')
('鄂州市工程建设监理咨询有限公司', '002105291248671480')
('吉林省建安集团有限公司', '002105291258804388')
('京津冀（北京）建设有限公司', '002105291254747199')
('四川宏强盛世建筑工程有限公司', '002105291258781854')
('江西昌港建设工程有限公司', '002105291321968088')
('河南浩东建筑工程有限公司', '002105291259839739')
('天津市勘岩工程建设监理有限公司', '002105291248673163')
('中奂（北京）建设有限公司', '002201302018267567')
('广东华宇建筑工程有限公司', '002105291328051577')
('中兴诺宏达（北京）建筑工程有限公司', '002105291259823683')
('六安月月装饰工程有限公司', '002112281926246016')
('山西弘诚清科技有限公司', '002105291255775335')
('青海宁和工程有限公司', '002105291240477484')
