('中建开元（北京）建筑工程有限公司', '002105291241562982')
('北京振凯建筑有限公司', '002105291305878017')
('西藏康达罗沛建筑工程有限公司', '002105291241608118')
('湖南鼎鹰电力建设有限公司', '002105291240466336')
('黑龙江通实建筑装饰工程有限公司', '002105291240524020')
('广东源禾智智能科技有限公司', '002105291254763264')
('河南省豫岩基础工程有限公司', '002105291241612441')
('江苏龙江建设工程有限公司', '002105291240462692')
('汾阳市建昌金固混凝土有限公司', '002105291240463055')
('黑龙江正金建筑设计有限公司', '002105291248652227')
('吉林省鑫盛商品混凝土有限公司', '002105291240519520')
('徐州市菲迪克建设工程监理有限公司', '002105291240520711')
('安徽徽鸿工程项目管理有限公司', '002105291258791103')
('吉林省泓达建筑材料有限公司', '002105291259824195')
('北京城市亮点电气工程有限公司', '002105291239453502')
('四川拓城建筑工程有限公司', '002105291259825516')
('江苏德义通环保科技有限公司', '002105291248699761')
('广东荣源建设工程有限公司', '002105291328025096')
('四川鑫铳龙建筑工程有限公司', '002105291259835271')
('江西朗禾建设工程有限公司', '002105291254764234')
('福建城航建设工程有限公司', '002105291248674088')
('山西蓉旭电力工程有限公司', '002105291241573920')
('上海勇台建筑装饰工程有限公司', '002108230037172094')
('四川省桥通工程咨询有限责任公司', '002105291240521621')
('深圳市宏川建筑工程有限公司', '002105291313948790')
('国能信控互联技术有限公司', '002111231912222225')
('上海呈懿系统工程有限公司', '002110291911207746')
('上海立辉停车服务有限公司', '002105291313935538')
('四川省大祥华装饰工程有限责任公司', '002105291240538059')
('泰鸿森工程顾问（北京）有限公司', '002105291241571003')
('广西创天建筑劳务有限公司', '002105291305852004')
('福建省闽钞利建设工程有限公司', '002105291255769509')
('四川宸铭华翔建筑工程有限公司', '002105291248669410')
('四川嘉铭源建设工程有限公司', '002105291313939032')
('四川润鑫新建筑劳务有限公司', '002105291305861919')
('北京鑫誉达工程建设有限公司', '002105291328032554')
('四川和源建设工程有限公司', '002105291254758183')
('福建盛世文脉文化传播有限公司', '002105291258782974')
('四川智宇鸿建设工程有限公司', '002105291249712488')
('河南省广宇建设集团有限公司', '002105291313920448')
('四川广林兴建设工程有限公司', '002105291248649562')
('中景华远（北京）建设有限公司', '002106221904117611')
('四川凯瑞嘉建设有限公司', '002105291241615911')
('江西安能电力有限公司', '002105291328032879')
('北京康顺通工程项目管理有限公司', '002105291240519164')
('云南鸿图工程咨询有限公司', '002305102040522612')
('山东永学建筑安装工程有限公司', '002105291258785447')
('中冶万达（北京）建设工程有限公司', '002105291247645733')
('四川唯鼎建设工程有限公司', '002105291305847446')
('巴中市恩阳区农业发展有限责任公司', '002105291258785103')
('辽宁隆腾建设有限公司', '002105291248664484')
('云南腾海建设工程有限公司', '002105291249709573')
('江苏乾伟建设工程有限公司', '002105291258795570')
('浙江航诚起重机械有限公司', '002105291255773623')
('四川汇智众诚建设工程有限公司', '002105291248671393')
('四川众合锦盛工程咨询有限公司', '002105291328032556')
('山东融都建筑科技有限公司', '002105291255777050')
('四川江油勇华机电设备有限公司', '002105291248692583')
('阿美科工程咨询（北京）有限公司', '002105291313924651')
('北京华通融创科技有限公司', '002106241904120515')
('江门市开源环保有限公司', '002105291248656230')
('北京同创恒远建筑工程有限公司', '002108132011167510')
('江苏朗阔智能建筑科技有限公司', '002105291258787306')
('吉林新汉邦建筑工程有限公司', '002105291312908660')
('江苏江宇建筑装饰工程有限公司', '002105291241579799')
('重庆忠聚和建筑工程有限公司', '002105291305869740')
('云南泉昊建筑工程有限公司', '002105291259811059')
('深圳金广源建设有限公司', '002105291328069626')
('福建闽阳启行建筑有限公司', '002201182017261754')
('北京瑞商建设发展有限公司', '002105291258787989')
('徐州盟兴混凝土有限公司', '002105291240554278')
('安徽秦陈建设工程有限公司', '002204022010296111')
('安徽嘉陈建设有限公司', '002105291258803716')
('上海瀛陈建设工程有限公司', '002105291322976858')
('福建勾陈建设工程有限公司', '002105291306902872')
('台州中陈建设有限公司', '002106161904112786')
('安徽冲陈建设工程有限公司', '002105291313935117')
('四川佰佳兆业建筑工程有限公司', '002105291259838877')
('中科青石（北京）环境科技有限公司', '002107161912146334')
('四川泰盛建筑劳务有限责任公司', '002105291241617718')
('上海博箭实业有限公司', '002105291254730622')
('港地建设集团有限公司', '002105291313930681')
('沈阳海洋电子工程有限公司', '002105291240489921')
('抚顺市宏成建筑工程公司', '002105291240483090')
